review_id,author,rating,text,date,owner_response
rev_58,Chris Sherk,2,"Second time I have been here and the accessibility door has been turned off. This business needs to get with the picture and not treat accessibility as an option AODA Accessibility for Ontarins with Disabilities Act law fine could be $50,000 per day.",04/01/2026 01:32:40,
rev_59,nickel,4,"The noodles are very yummy. I really like the broth in the beef udon. Good price also. However, the restaurant is more food-court style and the seats don’t have backs. You have to get up to get everything and the seating is crowded and not designed for you to stay very long. If you’re just looking for a quick bite though this is a good spot",04/01/2026 01:31:36,
rev_60,Keoyu T,5,Nice! 😁👍,04/01/2026 00:31:34,
rev_61,Ronin,3,"I live in the neighborhood and have been waiting months for this spot to open and unfortunately was left dissatisfied with my experience.

Firstly, the udon noodles were undercooked and had no chew. Secondly, the broth was too sweet - I had to add a bunch of furikake and chili oil to make it palatable. Finally, my girlfriend found a hair in her bowl of udon (black hair), she’s blonde. I found a hair on the underside of my squid tempura as well.

I think the big issue here is that the staff is overworked and these issues are bound to occur. The restaurant was disorganized and chairs were too close to each other. I think other options like Sanuki udon or even Raku offer a better experience.

If there’s a line, don’t wait.",03/31/2026 22:39:32,
rev_62,Lilian,3,"A fun udon spot to try out, cafeteria style! Udon is made fresh on onsite. I got the beef udon with 2 shrimp tempura, it was good but not worth the 1 hour 10 mins on Saturday night at 7pm. Udon texture was a bit too dense and not bouncy. The beef on the udon was delicious though! Shrimp tempura was crispy and light, but had a lot of batter. Just stick to one piece. Overall not bad for $20 but only worth coming if there’s no line.",03/31/2026 19:10:14,
rev_63,Meg,3,"Went here on a Monday afternoon - the line was long but moved fast!

I like the self-serve type of style here. Food wise I think it was just average, both the udon and tempura was just OK. But not a bad value for the price we paid",03/31/2026 18:00:33,
rev_64,Modca,5,"Congratulations to the staff who, despite the long lines and the constant high volume of people, provide impeccable service and are always friendly.

I ordered udon curry with chicken katsu and shrimp tempura, everything was delicious. I will definitely return.",03/31/2026 03:14:32,
rev_65,Vincent Mok,5,"Quick, efficient,  high quality.

Overall enjoyed what I got but would skip the karage as it was super dry and little chicken. I thought i was saving the best for last but it was a contrast from everything else",03/31/2026 00:14:39,
rev_66,Tunatuna,5,"Loved the concept! The line wasn’t bad and moved pretty fast. The udon leaned a bit salty, but the fried tempura and zucchini were so good. Definitely coming back to try more.",03/30/2026 20:07:37,
rev_67,James Enalen (jamesagainsthumanity),4,"Great cafeteria style restaurant. Food was delicious, only negative was that it was quite lukewarm, both broth, noodles, and tempura offerings. Would come back again though!",03/30/2026 19:18:56,
rev_68,Peyton,1,Went here to try udon for lunch. It was $42 for two bowls of Udon & Tempura & Coke. That would be completely fine if the food wasn’t overly salted and overall unbearable. Staff were so nice but I feel bad that they have to serve that food to people.,03/30/2026 17:23:06,
rev_69,Jenny La,4,"The wait was over an hour. Was it worth the wait? I’m not sure, we expected the noodles to be chewier and bouncier? I guess we were expecting it to be more amazing.",03/30/2026 15:33:57,
rev_70,Dahyun Kim,1,"you can think this place as food court and the udon was abit not my style because the noodle was not cooked well and taste abit like flour and soup was taste like instant cup noodle also salty,
tempura was taste ok but very oily",03/30/2026 03:09:35,
rev_71,Tristan Tardif,2,Reminds me of McDonald's,03/30/2026 00:23:44,
rev_72,Ryan Burns,1,"The food quality is decent but much saltier than the other locations I have tried. After waiting in line for just shy of an hour, the two items I specifically wanted were not available at the tempura bar. Unfortunately, because of how this restaurant works, you're stuck in a line that keeps moving and, if something is currently unavailable, it's not practical to wait for the next batch so I basically wasted a total of almost 2 hours to not get what I was there for while people behind me in line were able to get those items.

I understand that it's busy but I've never experienced this problem at their other locations, they really need to work on managing the availability of all the items, especially since they have a much more limited selection at this location.

On top of all that, the tables were not being cleaned frequently enough and the washrooms were borderline unusable and looked like they hadn't been cleaned in hours. The garbages were overflowing and spread across the floor.

I'm willing to give them another chance once the hype dies down since the food I did eat was pretty good but, as the place currently operates, I strongly advise against visiting.",03/29/2026 23:21:20,
rev_73,Linh Nguyen,5,"With the cost of living in Toronto, spending money here is very worthwhile—the prices are very reasonable. The food is great for what you pay. The line is long, but it moves quickly, and the staff are very friendly, attentive, and enthusiastic. There’s nothing to complain about at this price point. Even more surprising, there’s no tipping at all.",03/29/2026 22:01:13,
rev_74,flowie,1,"Line was long, got through it pretty quick though. When approaching the register with my tray, my bowl was taken with barely an explanation. Maybe a contamination issue? Not up to standard? Either way, 20 mins go by and there was no sign of my order. When it finally got to the table, my friends had already finished eating. It was mediocre udon. The noodles weren’t chewy, the curry sauce was too soupy, the tempura was soggy and oily. Tbh, I could make better at my house with frozen noodles. Nonetheless, I paid 30 dollars for a bowl of udon, 3 pieces of tempura, and a drink. You guys are under SPELLS!",03/29/2026 21:48:58,
